alpha,AAC6,Plasmid,Not_in_either,Rank_AAC6,Rank_plasmid,n_comp_plasmid
1e-12,0,0,0,-1,-1,-1
1e-11,0,0,0,-1,-1,-1
1e-10,0,0,0,-1,-1,-1
1e-09,0,0.01050420168067227,0,-1,1,1
1e-08,1,0.04201680672268908,0,6,1,5
1e-07,1,0.3445378151260504,0.006024096385542169,2,1,1
1e-06,1,0.3445378151260504,0.1951219512195122,2,1,1
1e-05,1,0.42436974789915966,0.38109756097560976,2,1,6
1e-04,1,0.6365546218487395,0.5891891891891892,2,1,1
0.001,1,0.6512605042016807,0.7957977675640184,2,1,1
0.01,1,0.6995798319327731,0.901591043017089,2,1,1
0.1,1,0.7163865546218487,0.9431515957446809,2,1,1
